id,pipe_name,kiki1_name,kiki1_id,kiki1_point,kiki2_name,kiki2_id,kiki2_point
PPc.548,"PPc-4","Tee","Tee-2",101,"Elbow","EL-2",100
PPc.557,"PPc-5","Elbow","EL-2",101,"Elbow","EL-3",100
PPc.762,"PPc-13","WCR","R-1",101,"Tee","Tee-4",102
PPc.763,"PPc-7","Tee","Tee-2",102,"P1c","CP-1-2",100
PPc.764,"PPc-10","Tee","Tee-4",100,"Tee","Tee-3",101
PPc.765,"PPc-6","Tee","Tee-3",100,"Elbow","EL-3",101
PPc.788,"PPc-9","WCR","R-2",101,"Tee","Tee-3",102
PPc.867,"PPc-8","P1c","CP-1-2",101,"WCR","R-2",100
PPc.964,"PPc-14","Elbow","EL-4",101,"Tee","Tee-4",101
PPc.990,"PPc-3","Tee","Tee-1",101,"Tee","Tee-2",100
PPc.1633,"PPc-12","P1c","CP-1-1",101,"WCR","R-1",100
PPc.989,"PPc-11","Tee","Tee-1",102,"P1c","CP-1-1",100
PPc.970,"PPc-15","Elbow","EL-4",100,"P2c","CP-2",100
PPc.975,"PPc-16","P2c","CP-2",101,"Elbow","EL-5",100
PPc.980,"PPc-17","Tee","Tee-5",100,"Elbow","EL-5",101
PPc.949,"PPc-19","AHU","AHU-2",101,"Tee","Tee-5",102
PPc.991,"PPc-2","Tee","Tee-6",101,"Tee","Tee-1",100
PPc.1437,"PPc-22","AHU","AHU-1",101,"Elbow","EL-6",101
PPc.1441,"PPc-18","Elbow","EL-6",100,"Tee","Tee-5",101
PPc.1459,"PPc-24","Elbow","EL-1",100,"Valve","VVc-1",100
PPc.1460,"PPc-23","Valve","VVc-1",101,"AHU","AHU-1",100
PPc.1461,"PPc-20","Valve","VVc-2",101,"AHU","AHU-2",100
PPc.1466,"PPc-21","Tee","Tee-6",102,"Valve","VVc-2",100
PPc.1475,"PPc-1","Elbow","EL-1",101,"Tee","Tee-6",100
